S1;S2;S3;S4;S5;Timestamp
2725081825;182;26;80;156;2017-08-01T23:10:00+03:00
234;100;66;5;85;2017-08-06T10:30:00+03:00
2725081825;143;22;183;73;2017-07-09T18:35:00+03:00
250;39;89;184;54;2017-07-10T23:35:00+03:00
370;153;59;40;54;2017-06-20T21:35:00+03:00
34;71;102;3;61;2017-06-21T06:30:00+03:00
329;124;98;95;119;2017-06-22T11:10:00+03:00
376;22;170;20;187;2017-06-22T19:25:00+03:00
4;44;27;22;74;2017-06-22T20:00:00+03:00
34;64;109;191;0;2017-06-23T02:50:00+03:00
334;41;126;6;103;2017-06-23T10:55:00+03:00
341;173;56;172;52;2017-06-23T12:50:00+03:00
343;62;117;91;57;2017-06-23T22:10:00+03:00
325;126;50;30;187;2017-06-24T05:10:00+03:00
30;158;56;118;74;2017-06-25T12:25:00+03:00
303;80;149;159;111;2017-06-25T12:30:00+03:00
303;16;59;10;50;2017-07-19T19:15:00+03:00
261;199;126;11;12;2017-07-21T03:25:00+03:00
268;146;112;198;57;2016-12-27T12:20:00+03:00
217;58;46;152;99;2016-12-28T13:05:00+03:00
165;155;138;17;125;2016-12-30T12:35:00+03:00
158;18;31;162;45;2016-12-30T19:35:00+03:00
140;152;173;37;137;2016-12-31T16:05:00+03:00
262;181;166;91;30;2016-12-16T13:35:00+03:00
270;160;127;12;112;2016-12-17T00:55:00+03:00
2725081825;142;116;160;49;2016-12-17T01:40:00+03:00
287;107;156;147;132;2016-12-17T13:55:00+03:00
298;117;83;166;172;2016-12-18T06:45:00+03:00
295;150;51;181;28;2016-12-19T17:35:00+03:00
289;13;171;108;166;2016-12-19T19:20:00+03:00
292;183;64;172;54;2016-12-20T04:00:00+03:00
295;138;145;55;12;2016-12-22T10:00:00+03:00
297;178;38;102;35;2016-12-22T10:15:00+03:00
226;128;88;150;126;2016-12-23T02:30:00+03:00
2136941910;106;130;29;153;2016-12-23T11:10:00+03:00
208;118;62;62;187;2016-12-23T18:15:00+03:00
245;40;72;61;106;2016-12-26T10:00:00+03:00
129;97;188;48;66;2017-01-02T09:45:00+03:00
1281372452;178;194;14;163;2017-01-02T12:20:00+03:00
129;92;101;192;16;2017-01-02T16:15:00+03:00
1281372452;132;134;14;183;2017-01-02T19:55:00+03:00
1281372452;73;133;32;70;2017-01-02T20:40:00+03:00
2;17;88;82;138;2017-01-06T03:05:00+03:00
198;76;139;36;117;2016-11-04T17:00:00+03:00
200;55;14;61;10;2016-11-06T13:00:00+03:00
19;18;180;25;149;2016-11-12T12:00:00+03:00
264;79;136;86;16;2016-12-05T00:00:00+03:00
295;118;2;69;67;2016-12-18T11:05:00+03:00
230;94;25;78;37;2017-02-16T16:20:00+03:00
228;18;16;128;44;2017-02-16T22:05:00+03:00
195;38;58;91;171;2017-02-20T20:00:00+03:00
208;175;80;127;3;2017-02-21T18:45:00+03:00
208;115;91;144;36;2017-02-21T21:05:00+03:00
205;170;0;168;96;2017-02-23T05:25:00+03:00
193;146;64;7;75;2017-02-27T09:20:00+03:00
200;86;123;161;124;2017-02-28T03:50:00+03:00
221;64;0;114;11;2017-07-03T02:00:00+03:00
234;35;30;53;158;2017-07-03T14:10:00+03:00
287;98;103;3;69;2017-07-06T11:25:00+03:00
260;44;133;29;102;2017-07-11T22:15:00+03:00
251;17;91;149;151;2017-07-14T12:00:00+03:00
291;101;15;180;149;2017-06-27T08:10:00+03:00
289;106;180;116;26;2017-06-28T04:55:00+03:00
289;40;153;196;152;2017-06-28T05:10:00+03:00
297;75;185;144;80;2017-06-28T17:15:00+03:00
225;117;20;51;24;2017-07-25T17:15:00+03:00
226;48;11;25;7;2017-07-26T03:30:00+03:00
254;68;86;167;112;2017-07-27T21:00:00+03:00
255;178;184;66;66;2017-07-27T22:10:00+03:00
250;104;40;16;148;2017-07-28T03:40:00+03:00
242;31;129;167;34;2017-07-28T08:00:00+03:00
249;15;197;194;103;2017-07-29T03:25:00+03:00
240;94;166;64;162;2017-07-29T09:40:00+03:00
29;39;94;39;18;2017-07-29T23:05:00+03:00
289;22;31;98;10;2017-07-30T20:20:00+03:00
269;88;57;54;133;2017-07-31T14:55:00+03:00
288;134;161;84;78;2017-07-31T20:30:00+03:00
222;96;47;177;6;2017-08-07T10:10:00+03:00
229;130;144;66;3;2017-08-08T10:10:00+03:00
241;127;57;125;197;2017-08-08T22:05:00+03:00
234;161;13;132;63;2017-08-09T00:20:00+03:00
208;63;11;42;10;2017-08-10T04:30:00+03:00
206;28;6;175;35;2017-08-10T18:15:00+03:00
207;1;166;84;7;2017-08-12T00:25:00+03:00
207;70;98;55;149;2017-08-12T04:25:00+03:00
2667198563;134;160;191;133;2017-07-23T01:35:00+03:00
259;51;79;34;144;2017-07-23T05:30:00+03:00
252;68;9;151;173;2017-07-23T09:00:00+03:00
250;75;96;55;141;2017-07-23T10:50:00+03:00
239;79;112;20;137;2017-07-24T08:00:00+03:00
238;37;130;144;64;2017-07-24T18:20:00+03:00
216;199;62;182;170;2017-07-25T13:50:00+03:00
263;94;42;24;9;2017-07-15T01:20:00+03:00
228;42;172;169;28;2017-07-16T09:55:00+03:00
24;14;36;12;132;2017-07-16T11:55:00+03:00
313;70;135;152;0;2017-07-18T18:45:00+03:00
236;77;154;197;62;2017-08-12T18:25:00+03:00
252;76;152;26;20;2017-08-14T14:45:00+03:00
274;156;167;67;186;2017-08-15T00:30:00+03:00
30;101;129;151;34;2017-08-28T02:55:00+03:00
318;127;180;156;88;2017-08-28T20:25:00+03:00
304;128;71;164;62;2017-08-30T08:15:00+03:00
274;159;100;14;127;2017-08-31T03:45:00+03:00
261;190;83;193;112;2017-08-31T06:45:00+03:00
241;10;105;125;181;2017-08-31T18:20:00+03:00
242;192;59;173;128;2017-08-31T18:35:00+03:00
294;16;149;123;29;2017-08-27T04:00:00+03:00
242;97;79;127;57;2017-08-24T10:20:00+03:00
257;92;50;85;132;2017-08-24T14:25:00+03:00
260;41;4;27;2;2017-08-24T15:10:00+03:00
287;5;20;76;66;2017-08-25T23:00:00+03:00
261;114;46;38;6;2017-08-23T09:15:00+03:00
183;67;5;145;14;2017-04-26T06:40:00+03:00
249;191;117;23;21;2017-04-22T17:35:00+03:00
236;116;180;102;127;2017-05-08T17:00:00+03:00
269;171;127;69;74;2017-05-21T19:10:00+03:00
27;128;126;182;193;2017-05-22T00:30:00+03:00
2667198563;186;63;73;2;2017-05-22T02:10:00+03:00
287;187;168;192;119;2017-05-22T18:05:00+03:00
287;118;135;168;79;2017-05-22T18:20:00+03:00
289;98;63;57;160;2017-05-22T19:15:00+03:00
290;109;79;181;15;2017-05-23T20:00:00+03:00
260;156;25;49;39;2017-05-24T10:25:00+03:00
299;170;100;118;194;2017-05-24T23:20:00+03:00
215;5;10;100;82;2017-08-12T13:20:00+03:00
242;159;57;85;121;2017-08-13T11:45:00+03:00
276;20;35;82;74;2017-08-15T18:35:00+03:00
274;50;192;140;79;2017-08-15T22:55:00+03:00
27;200;145;63;124;2017-08-16T00:25:00+03:00
269;44;42;45;128;2017-08-17T02:15:00+03:00
268;92;121;66;62;2017-08-17T02:45:00+03:00
283;57;154;20;118;2017-08-17T21:50:00+03:00
252;170;174;155;58;2017-08-18T06:15:00+03:00
265;18;77;51;29;2017-08-18T13:05:00+03:00
266;68;63;145;7;2017-08-26T10:30:00+03:00
291;194;167;1;168;2017-08-27T08:55:00+03:00
292;190;145;118;171;2017-08-27T11:25:00+03:00
258;121;194;185;40;2017-04-01T19:25:00+03:00
245;53;63;17;198;2017-04-02T21:00:00+03:00
2136941910;0;44;48;88;2017-04-03T07:15:00+03:00
218;40;176;44;67;2017-04-03T11:00:00+03:00
220;85;67;19;180;2017-04-06T21:45:00+03:00
258;142;35;103;12;2017-04-08T17:05:00+03:00
272;30;20;18;44;2017-04-08T21:50:00+03:00
213;26;9;9;15;2017-02-22T19:35:00+03:00
211;95;96;139;20;2017-02-22T22:05:00+03:00
212;199;97;12;61;2017-02-23T02:30:00+03:00
198;83;50;17;61;2017-02-27T06:05:00+03:00
193;54;51;3;200;2017-02-27T10:25:00+03:00
198;175;174;196;51;2017-02-27T18:50:00+03:00
198;9;109;124;107;2017-03-02T04:50:00+03:00
255;108;51;76;67;2017-03-22T05:50:00+03:00
262;41;189;93;149;2017-03-22T08:35:00+03:00
205;175;63;159;65;2017-03-30T10:40:00+03:00
204;103;165;23;33;2017-02-27T03:10:00+03:00
2;109;155;154;25;2017-02-16T18:45:00+03:00
204;111;162;129;83;2017-04-16T08:25:00+03:00
206;23;146;141;164;2017-04-16T16:50:00+03:00
218;56;149;164;51;2017-04-17T14:30:00+03:00
225;53;116;12;134;2017-04-17T18:25:00+03:00
189;95;99;21;91;2017-04-18T08:10:00+03:00
219;20;97;94;103;2017-04-19T15:45:00+03:00
18;98;56;50;188;2017-04-20T12:30:00+03:00
205;187;140;146;168;2017-04-20T17:15:00+03:00
176;122;58;56;4;2017-04-21T04:30:00+03:00
183;130;199;18;51;2017-04-21T11:30:00+03:00
232;159;123;115;183;2017-02-18T18:05:00+03:00
219;107;71;170;174;2017-02-19T17:20:00+03:00
218;141;18;137;58;2017-02-19T18:15:00+03:00
203;94;30;197;176;2017-02-20T04:00:00+03:00
201;70;44;60;60;2017-02-20T05:05:00+03:00
201;88;190;70;177;2017-02-21T01:00:00+03:00
2136941910;31;183;5;68;2017-02-21T06:50:00+03:00
2088768578;119;23;168;48;2017-02-21T10:35:00+03:00
190;160;90;63;69;2017-04-29T02:50:00+03:00
223;88;10;163;46;2017-04-30T04:45:00+03:00
226;107;100;128;198;2017-04-30T10:20:00+03:00
2;179;132;76;120;2017-04-30T10:55:00+03:00
238;124;12;60;65;2017-04-30T12:50:00+03:00
211;33;184;168;134;2017-05-01T01:55:00+03:00
207;167;31;114;83;2017-05-02T06:10:00+03:00
205;131;82;137;135;2017-05-02T08:40:00+03:00
222;38;196;168;103;2017-05-03T22:50:00+03:00
219;50;171;27;156;2017-05-04T11:50:00+03:00
238;82;31;44;195;2017-05-04T20:20:00+03:00
236;0;142;77;26;2017-05-04T23:55:00+03:00
252;92;150;137;177;2017-04-10T22:05:00+03:00
211;67;79;99;26;2017-04-12T00:05:00+03:00
2088768578;6;86;81;14;2017-04-12T12:20:00+03:00
215;148;176;85;6;2017-04-15T22:10:00+03:00
204;106;188;164;4;2017-04-24T07:30:00+03:00
261;98;150;30;152;2017-04-24T17:50:00+03:00
167;132;14;121;54;2017-01-06T01:00:00+03:00
148;47;80;200;80;2017-01-06T11:50:00+03:00
129;183;58;161;197;2017-01-08T12:30:00+03:00
148;5;185;155;148;2017-01-10T05:25:00+03:00
7268328667;130;81;190;161;2017-01-23T13:15:00+03:00
736;92;83;126;26;2017-01-24T09:00:00+03:00
206;78;106;50;178;2017-02-14T12:10:00+03:00
211;79;8;137;93;2017-02-14T16:40:00+03:00
223;196;116;36;35;2017-02-15T03:25:00+03:00
227;198;183;14;119;2017-02-16T00:20:00+03:00
150;125;197;49;66;2017-01-03T22:05:00+03:00
146;50;197;160;46;2017-01-04T03:20:00+03:00
140;25;29;112;144;2016-12-31T17:25:00+03:00
133;122;77;171;136;2017-01-01T05:00:00+03:00
129;74;129;161;135;2017-01-01T21:35:00+03:00
1281372452;104;7;15;47;2017-01-02T14:30:00+03:00
1281372452;188;36;171;73;2017-01-02T15:25:00+03:00
103;6;138;152;12;2017-01-18T21:30:00+03:00
102;197;79;50;28;2017-01-18T22:35:00+03:00
889;147;34;153;64;2017-01-19T12:35:00+03:00
956;123;2;192;123;2017-01-19T16:45:00+03:00
146;175;100;121;110;2017-01-06T16:35:00+03:00
295;158;94;128;14;2017-07-19T06:00:00+03:00
298;179;199;121;38;2017-07-19T14:35:00+03:00
289;85;105;94;21;2017-07-20T00:35:00+03:00
280;35;167;61;81;2017-07-20T02:50:00+03:00
276;109;89;97;73;2017-07-20T22:55:00+03:00
254;57;197;129;193;2017-07-23T07:15:00+03:00
252;161;71;149;174;2017-07-23T08:50:00+03:00
261;24;40;69;0;2017-07-23T20:00:00+03:00
246;7;64;93;90;2017-08-06T12:10:00+03:00
247;1;28;77;176;2017-08-07T03:15:00+03:00
237;121;140;124;86;2017-08-07T05:25:00+03:00
237;44;84;142;174;2017-08-07T13:40:00+03:00
240;120;14;177;32;2017-08-08T03:30:00+03:00
258;170;40;28;13;2017-07-24T01:40:00+03:00
239;77;65;112;180;2017-07-26T17:45:00+03:00
240;102;67;63;3;2017-07-27T12:15:00+03:00
245;62;56;63;173;2017-07-28T06:30:00+03:00
237;162;49;40;192;2017-07-28T11:35:00+03:00
269;76;192;152;192;2017-07-14T21:10:00+03:00
250;200;171;10;170;2017-07-16T02:30:00+03:00
295;24;119;129;73;2017-07-17T20:40:00+03:00
259;185;182;124;200;2017-07-18T08:05:00+03:00
274;160;40;72;102;2017-07-30T04:45:00+03:00
271;5;67;89;40;2017-07-30T11:30:00+03:00
280;184;94;125;145;2017-07-31T04:00:00+03:00
207;30;108;189;109;2017-08-20T12:45:00+03:00
258;67;11;174;39;2017-08-24T05:30:00+03:00
265;10;118;43;22;2017-08-25T06:40:00+03:00
287;191;46;60;122;2017-08-25T23:25:00+03:00
219;108;12;120;181;2017-08-09T06:25:00+03:00
200;6;145;80;110;2017-08-11T16:05:00+03:00
301;144;108;68;135;2017-08-27T13:50:00+03:00
297;110;67;195;169;2017-08-28T14:45:00+03:00
246;97;46;63;79;2017-08-31T09:05:00+03:00
246;24;86;120;154;2017-08-31T19:35:00+03:00
246;194;185;190;49;2017-08-31T20:10:00+03:00
256;44;107;6;28;2016-10-02T13:00:00+03:00
215;89;42;97;160;2016-10-23T13:00:00+03:00
274;172;30;63;108;2016-10-25T03:00:00+03:00
264;1;116;118;173;2016-10-25T15:00:00+03:00
193;29;176;176;43;2016-11-01T10:00:00+03:00
298;175;140;23;23;2016-12-21T08:05:00+03:00
294;83;165;17;185;2016-12-21T13:30:00+03:00
29;114;0;78;166;2016-12-22T11:35:00+03:00
224;43;172;194;18;2016-12-23T07:30:00+03:00
205;33;72;102;12;2016-12-23T19:55:00+03:00
254;56;106;182;172;2016-12-24T07:00:00+03:00
243;104;40;132;184;2016-12-25T01:30:00+03:00
270;48;27;51;119;2016-12-01T19:00:00+03:00
265;104;40;171;92;2016-12-04T14:00:00+03:00
238;98;82;157;74;2016-12-15T20:55:00+03:00
265;85;151;87;191;2016-12-16T12:15:00+03:00
290;136;176;60;1;2016-12-17T14:50:00+03:00
301;119;154;43;62;2016-12-18T13:20:00+03:00
290;146;185;178;183;2016-12-19T19:00:00+03:00
287;67;183;120;79;2016-12-19T20:30:00+03:00
193;159;18;113;46;2016-12-29T00:30:00+03:00
188;99;68;122;100;2016-12-29T03:30:00+03:00
321;149;183;106;195;2016-08-17T18:00:00+03:00
317;135;187;68;141;2016-08-24T00:00:00+03:00
327;160;46;83;63;2016-08-26T09:00:00+03:00
278;165;95;124;126;2016-08-30T17:00:00+03:00
280;172;165;124;168;2016-09-02T05:00:00+03:00
280;87;77;79;22;2016-09-10T11:00:00+03:00
2667198563;100;111;133;104;2016-12-26T21:20:00+03:00
28;60;106;28;78;2016-12-26T23:10:00+03:00
232;184;57;43;168;2017-07-01T19:25:00+03:00
226;165;50;190;126;2017-07-03T11:30:00+03:00
2667198563;118;54;164;161;2017-07-05T12:30:00+03:00
299;136;104;189;45;2017-07-05T19:25:00+03:00
30;102;23;183;121;2017-07-08T15:00:00+03:00
2725081825;31;125;10;146;2017-07-09T17:10:00+03:00
248;70;66;108;178;2017-07-10T08:45:00+03:00
247;109;4;81;122;2017-07-10T19:00:00+03:00
241;68;66;122;30;2017-07-11T03:05:00+03:00
321;13;107;177;163;2017-06-22T06:55:00+03:00
326;90;99;167;190;2017-06-22T10:35:00+03:00
344;145;29;39;91;2017-06-23T17:45:00+03:00
320;192;173;76;73;2017-06-24T06:20:00+03:00
321;189;23;26;103;2017-06-25T00:45:00+03:00
299;98;130;65;167;2017-06-25T11:20:00+03:00
312;197;176;44;145;2017-06-27T13:20:00+03:00
261;104;186;80;162;2017-06-29T10:25:00+03:00
280;182;6;66;98;2017-06-30T04:45:00+03:00
28;179;29;30;38;2017-06-30T06:30:00+03:00
284;171;93;33;55;2017-06-30T08:00:00+03:00
323;191;145;149;179;2017-06-17T22:05:00+03:00
178;183;121;128;96;2017-01-12T02:05:00+03:00
20;77;121;153;129;2017-01-13T11:00:00+03:00
169;130;156;2;104;2017-01-15T02:35:00+03:00
301;103;195;47;102;2017-05-26T17:30:00+03:00
222;125;170;17;126;2017-05-20T10:35:00+03:00
247;102;9;26;77;2017-05-20T23:30:00+03:00
271;30;151;192;68;2017-05-14T15:55:00+03:00
235;148;18;195;167;2017-05-15T11:20:00+03:00
256;156;169;131;191;2017-05-15T16:00:00+03:00
28;134;189;17;108;2017-05-15T21:40:00+03:00
238;132;138;191;5;2017-05-09T22:40:00+03:00
271;137;29;191;37;2017-05-10T18:35:00+03:00
27;184;140;87;61;2017-05-11T04:05:00+03:00
271;161;95;188;39;2017-05-11T09:25:00+03:00
261;34;57;57;93;2017-05-12T02:10:00+03:00
245;43;2;27;129;2017-05-12T07:10:00+03:00
2667198563;34;158;88;36;2017-05-14T22:25:00+03:00
266;200;83;146;178;2017-05-17T06:00:00+03:00
279;13;100;128;136;2017-05-18T16:00:00+03:00
216;161;24;56;30;2017-05-19T10:35:00+03:00
217;124;173;109;112;2017-05-19T10:40:00+03:00
319;13;26;72;117;2017-05-27T21:15:00+03:00
260;71;13;99;124;2017-05-30T06:25:00+03:00
268;23;127;197;59;2017-05-30T16:40:00+03:00
2725081825;135;179;117;185;2017-05-30T18:35:00+03:00
257;85;39;137;99;2017-05-31T06:25:00+03:00
308;113;170;108;22;2017-06-18T13:15:00+03:00
308;122;3;118;35;2017-06-19T08:40:00+03:00
367;103;10;76;16;2017-06-20T18:20:00+03:00
369;97;175;119;29;2017-06-21T17:30:00+03:00
299;9;129;76;48;2017-06-14T11:20:00+03:00
34;140;177;121;56;2017-06-15T19:20:00+03:00
251;161;43;125;87;2017-06-02T11:10:00+03:00
241;82;126;65;179;2017-06-04T16:45:00+03:00
246;190;42;148;55;2017-06-04T21:00:00+03:00
238;11;10;67;37;2017-06-05T03:15:00+03:00
234;93;144;109;27;2017-06-05T13:05:00+03:00
243;199;38;52;92;2017-06-05T18:20:00+03:00
24;110;193;161;165;2017-06-06T02:05:00+03:00
305;9;185;3;133;2017-06-09T20:10:00+03:00
328;195;58;150;62;2017-06-10T23:10:00+03:00
292;155;95;156;91;2017-06-11T07:50:00+03:00
353;136;53;108;17;2017-06-12T00:05:00+03:00
335;24;96;39;82;2017-06-12T02:45:00+03:00
305;125;151;159;160;2017-06-12T23:50:00+03:00
284;113;115;149;147;2017-06-13T04:05:00+03:00
223;155;182;161;18;2017-06-06T12:30:00+03:00
225;63;102;133;97;2017-06-06T13:45:00+03:00
303;59;175;59;184;2017-06-09T16:55:00+03:00
340;85;99;27;178;2017-06-21T06:00:00+03:00
344;51;86;111;82;2017-06-22T02:25:00+03:00
350;25;185;200;137;2017-06-22T13:55:00+03:00
355;161;94;16;72;2017-06-22T15:00:00+03:00
4;115;111;57;7;2017-06-22T20:45:00+03:00
364;166;166;141;172;2017-06-22T23:10:00+03:00
240;199;92;144;72;2017-06-08T03:15:00+03:00
30;161;154;40;53;2017-06-08T22:45:00+03:00
299;96;43;96;143;2017-06-09T13:45:00+03:00
28;30;41;163;80;2017-06-10T08:35:00+03:00
312;91;114;142;111;2017-06-11T01:45:00+03:00
369;170;137;93;44;2017-06-22T22:30:00+03:00
34;36;196;34;178;2017-06-11T15:35:00+03:00
342;113;149;189;63;2017-06-12T01:45:00+03:00
308;184;153;179;200;2017-06-12T14:40:00+03:00
232;94;110;142;162;2017-06-07T14:35:00+03:00
238;193;138;56;196;2017-06-05T03:25:00+03:00
212;169;79;84;118;2016-12-23T11:55:00+03:00
130;104;165;183;181;2017-01-07T13:30:00+03:00
131;168;132;176;20;2017-01-08T06:55:00+03:00
131;120;190;146;165;2017-01-08T15:20:00+03:00
130;11;99;84;166;2017-01-08T15:45:00+03:00
150;147;69;34;151;2017-01-09T23:05:00+03:00
243;72;108;52;131;2017-08-19T23:20:00+03:00
216;94;119;162;149;2017-08-20T14:30:00+03:00
303;148;58;16;9;2017-08-26T23:50:00+03:00
292;11;47;176;100;2017-08-27T11:00:00+03:00
317;196;10;127;10;2017-08-27T21:55:00+03:00
243;123;42;25;9;2017-08-22T13:25:00+03:00
284;128;41;142;187;2017-08-23T17:10:00+03:00
288;138;16;12;66;2017-08-23T19:10:00+03:00
266;22;140;175;89;2017-08-24T16:25:00+03:00
265;141;105;1;31;2017-08-25T06:20:00+03:00
213;63;57;109;2;2017-08-20T13:35:00+03:00
279;78;16;47;78;2017-06-29T00:05:00+03:00
