"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
56,53,"COL","Colombia",2,"Antioquia",56,"Frontino","Municipio","Municipality",NA,NA
57,53,"COL","Colombia",2,"Antioquia",57,"Gómez Plata","Municipio","Municipality",NA,NA
58,53,"COL","Colombia",2,"Antioquia",58,"Giraldo","Municipio","Municipality",NA,NA
59,53,"COL","Colombia",2,"Antioquia",59,"Girardota","Municipio","Municipality",NA,NA
60,53,"COL","Colombia",2,"Antioquia",60,"Granada","Municipio","Municipality",NA,NA
61,53,"COL","Colombia",2,"Antioquia",61,"Guadalupe","Municipio","Municipality",NA,NA
62,53,"COL","Colombia",2,"Antioquia",62,"Guarne","Municipio","Municipality",NA,NA
63,53,"COL","Colombia",2,"Antioquia",63,"Guatapé","Municipio","Municipality",NA,NA
64,53,"COL","Colombia",2,"Antioquia",64,"Heliconia","Municipio","Municipality",NA,NA
65,53,"COL","Colombia",2,"Antioquia",65,"Hispania","Municipio","Municipality",NA,NA
66,53,"COL","Colombia",2,"Antioquia",66,"Itagüí","Municipio","Municipality",NA,NA
67,53,"COL","Colombia",2,"Antioquia",67,"Ituango","Municipio","Municipality",NA,NA
68,53,"COL","Colombia",2,"Antioquia",68,"Jardín","Municipio","Municipality",NA,NA
69,53,"COL","Colombia",2,"Antioquia",69,"Jericó","Municipio","Municipality",NA,NA
70,53,"COL","Colombia",2,"Antioquia",70,"La Ceja","Municipio","Municipality",NA,NA
71,53,"COL","Colombia",2,"Antioquia",71,"La Estrella","Municipio","Municipality",NA,NA
72,53,"COL","Colombia",2,"Antioquia",72,"La Unión de Sucre","Municipio","Municipality",NA,"La Union|La Unión"
73,53,"COL","Colombia",2,"Antioquia",73,"Liborina","Municipio","Municipality",NA,NA
74,53,"COL","Colombia",2,"Antioquia",74,"Maceo","Municipio","Municipality",NA,NA
75,53,"COL","Colombia",2,"Antioquia",75,"Marinilla","Municipio","Municipality",NA,NA
76,53,"COL","Colombia",2,"Antioquia",76,"Medellín","Municipio","Municipality",NA,NA
77,53,"COL","Colombia",2,"Antioquia",77,"Montebello","Municipio","Municipality",NA,NA
78,53,"COL","Colombia",2,"Antioquia",78,"Murindó","Municipio","Municipality",NA,NA
79,53,"COL","Colombia",2,"Antioquia",79,"Mutatá","Municipio","Municipality",NA,NA
80,53,"COL","Colombia",2,"Antioquia",80,"Nariño","Municipio","Municipality",NA,NA
81,53,"COL","Colombia",2,"Antioquia",81,"Nechí","Municipio","Municipality",NA,NA
82,53,"COL","Colombia",2,"Antioquia",82,"Necoclí","Municipio","Municipality",NA,NA
83,53,"COL","Colombia",2,"Antioquia",83,"Olaya","Municipio","Municipality",NA,NA
84,53,"COL","Colombia",2,"Antioquia",84,"Peñol","Municipio","Municipality",NA,NA
85,53,"COL","Colombia",2,"Antioquia",85,"Pequé","Municipio","Municipality",NA,NA
86,53,"COL","Colombia",2,"Antioquia",86,"Pueblorrico","Municipio","Municipality",NA,NA
87,53,"COL","Colombia",2,"Antioquia",87,"Puerto Berrío","Municipio","Municipality",NA,NA
88,53,"COL","Colombia",2,"Antioquia",88,"Puerto Nare","Municipio","Municipality",NA,"La Magdalena"
89,53,"COL","Colombia",2,"Antioquia",89,"Puerto Triunfo","Municipio","Municipality",NA,NA
90,53,"COL","Colombia",2,"Antioquia",90,"Remedios","Municipio","Municipality",NA,NA
91,53,"COL","Colombia",2,"Antioquia",91,"Retiro","Municipio","Municipality",NA,NA
92,53,"COL","Colombia",2,"Antioquia",92,"Rionegro","Municipio","Municipality",NA,NA
93,53,"COL","Colombia",2,"Antioquia",93,"Sabanalarga","Municipio","Municipality",NA,NA
94,53,"COL","Colombia",2,"Antioquia",94,"Sabaneta","Municipio","Municipality",NA,NA
95,53,"COL","Colombia",2,"Antioquia",95,"Salgar","Municipio","Municipality",NA,NA
96,53,"COL","Colombia",2,"Antioquia",96,"San Andrés de Cuerquia","Municipio","Municipality",NA,"San Andres|San Andrés"
97,53,"COL","Colombia",2,"Antioquia",97,"San Carlos","Municipio","Municipality",NA,NA
98,53,"COL","Colombia",2,"Antioquia",98,"San Francisco","Municipio","Municipality",NA,NA
99,53,"COL","Colombia",2,"Antioquia",99,"San Jerónimo","Municipio","Municipality",NA,NA
100,53,"COL","Colombia",2,"Antioquia",100,"San José de la Montaña","Municipio","Municipality",NA,NA
101,53,"COL","Colombia",2,"Antioquia",101,"San Juan de Urabá","Municipio","Municipality",NA,"San Juan De Urab"
102,53,"COL","Colombia",2,"Antioquia",102,"San Luis","Municipio","Municipality",NA,NA
103,53,"COL","Colombia",2,"Antioquia",103,"San Pedro de los Milagros","Municipio","Municipality",NA,"San Pedro"
104,53,"COL","Colombia",2,"Antioquia",104,"San Pedro de Urabá","Municipio","Municipality",NA,NA
105,53,"COL","Colombia",2,"Antioquia",105,"San Rafael","Municipio","Municipality",NA,NA
106,53,"COL","Colombia",2,"Antioquia",106,"San Roque","Municipio","Municipality",NA,NA
107,53,"COL","Colombia",2,"Antioquia",107,"San Vicente","Municipio","Municipality",NA,NA
108,53,"COL","Colombia",2,"Antioquia",108,"Santa Bárbara","Municipio","Municipality",NA,NA
109,53,"COL","Colombia",2,"Antioquia",109,"Santa Fe de Antioquia","Municipio","Municipality",NA,"Antioquia"
110,53,"COL","Colombia",2,"Antioquia",110,"Santa Rosa de Osos","Municipio","Municipality",NA,NA
111,53,"COL","Colombia",2,"Antioquia",111,"Santo Domingo","Municipio","Municipality",NA,NA
112,53,"COL","Colombia",2,"Antioquia",112,"Segovia","Municipio","Municipality",NA,NA
113,53,"COL","Colombia",2,"Antioquia",113,"Sonsón","Municipio","Municipality",NA,NA
114,53,"COL","Colombia",2,"Antioquia",114,"Sopetrán","Municipio","Municipality",NA,NA
115,53,"COL","Colombia",2,"Antioquia",115,"Támesis","Municipio","Municipality",NA,NA
116,53,"COL","Colombia",2,"Antioquia",116,"Tarazá","Municipio","Municipality",NA,NA
117,53,"COL","Colombia",2,"Antioquia",117,"Tarso","Municipio","Municipality",NA,NA
118,53,"COL","Colombia",2,"Antioquia",118,"Titiribí","Municipio","Municipality",NA,NA
119,53,"COL","Colombia",2,"Antioquia",119,"Toledo","Municipio","Municipality",NA,NA
120,53,"COL","Colombia",2,"Antioquia",120,"Turbo","Municipio","Municipality",NA,NA
121,53,"COL","Colombia",2,"Antioquia",121,"Uramita","Municipio","Municipality",NA,NA
122,53,"COL","Colombia",2,"Antioquia",122,"Urrao","Municipio","Municipality",NA,NA
123,53,"COL","Colombia",2,"Antioquia",123,"Valdivia","Municipio","Municipality",NA,NA
124,53,"COL","Colombia",2,"Antioquia",124,"Valparaíso","Municipio","Municipality",NA,NA
125,53,"COL","Colombia",2,"Antioquia",125,"Vegachí","Municipio","Municipality",NA,NA
126,53,"COL","Colombia",2,"Antioquia",126,"Venecia","Municipio","Municipality",NA,NA
127,53,"COL","Colombia",2,"Antioquia",127,"Vigía del Fuerte","Municipio","Municipality",NA,NA
128,53,"COL","Colombia",2,"Antioquia",128,"Yalí","Municipio","Municipality",NA,NA
129,53,"COL","Colombia",2,"Antioquia",129,"Yarumal","Municipio","Municipality",NA,NA
130,53,"COL","Colombia",2,"Antioquia",130,"Yolombó","Municipio","Municipality",NA,NA
131,53,"COL","Colombia",2,"Antioquia",131,"Yondó","Municipio","Municipality",NA,NA
132,53,"COL","Colombia",2,"Antioquia",132,"Zaragoza","Municipio","Municipality",NA,NA
133,53,"COL","Colombia",3,"Arauca",133,"Arauca","Municipio","Municipality",NA,NA
134,53,"COL","Colombia",3,"Arauca",134,"Arauquita","Municipio","Municipality",NA,NA
135,53,"COL","Colombia",3,"Arauca",135,"Cravo Norte","Municipio","Municipality",NA,NA
136,53,"COL","Colombia",3,"Arauca",136,"Fortul","Municipio","Municipality",NA,NA
137,53,"COL","Colombia",3,"Arauca",137,"Puerto Rondón","Municipio","Municipality",NA,NA
138,53,"COL","Colombia",3,"Arauca",138,"Saravena","Municipio","Municipality",NA,NA
139,53,"COL","Colombia",3,"Arauca",139,"Tame","Municipio","Municipality",NA,NA
140,53,"COL","Colombia",4,"Atlántico",140,"Baranoa","Municipio","Municipality",NA,NA
141,53,"COL","Colombia",4,"Atlántico",141,"Barranquilla",NA,NA,NA,NA
142,53,"COL","Colombia",4,"Atlántico",142,"Campo de la Cruz","Municipio","Municipality",NA,NA
143,53,"COL","Colombia",4,"Atlántico",143,"Candelaria","Municipio","Municipality",NA,NA
144,53,"COL","Colombia",4,"Atlántico",144,"Galapa","Municipio","Municipality",NA,NA
145,53,"COL","Colombia",4,"Atlántico",145,"Juan de Acosta","Municipio","Municipality",NA,NA
146,53,"COL","Colombia",4,"Atlántico",146,"Luruaco","Municipio","Municipality",NA,NA
147,53,"COL","Colombia",4,"Atlántico",147,"Malambo","Municipio","Municipality",NA,NA
148,53,"COL","Colombia",4,"Atlántico",148,"Manatí","Municipio","Municipality",NA,NA
149,53,"COL","Colombia",4,"Atlántico",149,"Palmar de Varela","Municipio","Municipality",NA,NA
150,53,"COL","Colombia",4,"Atlántico",150,"Piojó","Municipio","Municipality",NA,NA
151,53,"COL","Colombia",4,"Atlántico",151,"Polonuevo","Municipio","Municipality",NA,"Polo Nuevo"
152,53,"COL","Colombia",4,"Atlántico",152,"Ponedera","Municipio","Municipality",NA,NA
153,53,"COL","Colombia",4,"Atlántico",153,"Puerto Colombia","Municipio","Municipality",NA,NA
154,53,"COL","Colombia",4,"Atlántico",154,"Repelón","Municipio","Municipality",NA,NA
155,53,"COL","Colombia",4,"Atlántico",155,"Sabanagrande","Municipio","Municipality",NA,NA
156,53,"COL","Colombia",4,"Atlántico",156,"Sabanalarga","Municipio","Municipality",NA,NA
157,53,"COL","Colombia",4,"Atlántico",157,"Santa Lucía","Municipio","Municipality",NA,NA
158,53,"COL","Colombia",4,"Atlántico",158,"Santo Tomás","Municipio","Municipality",NA,NA
159,53,"COL","Colombia",4,"Atlántico",159,"Soledad","Municipio","Municipality",NA,NA
160,53,"COL","Colombia",4,"Atlántico",160,"Suan","Municipio","Municipality",NA,NA
161,53,"COL","Colombia",4,"Atlántico",161,"Tubará","Municipio","Municipality",NA,NA
162,53,"COL","Colombia",4,"Atlántico",162,"Usiacurí","Municipio","Municipality",NA,NA
163,53,"COL","Colombia",5,"Bolívar",163,"Achí","Municipio","Municipality",NA,NA
164,53,"COL","Colombia",5,"Bolívar",164,"Altos del Rosario","Municipio","Municipality",NA,NA
165,53,"COL","Colombia",5,"Bolívar",165,"Arjona","Municipio","Municipality",NA,NA
166,53,"COL","Colombia",5,"Bolívar",166,"Barranco de Loba","Municipio","Municipality",NA,NA
167,53,"COL","Colombia",5,"Bolívar",167,"Córdoba","Municipio","Municipality",NA,NA
168,53,"COL","Colombia",5,"Bolívar",168,"Calamar","Municipio","Municipality",NA,NA
169,53,"COL","Colombia",5,"Bolívar",169,"Cantagallo","Municipio","Municipality",NA,NA
170,53,"COL","Colombia",5,"Bolívar",170,"Cartagena de Indias","Municipio","Municipality",NA,"Cartagena"
171,53,"COL","Colombia",5,"Bolívar",171,"Cicuco","Municipio","Municipality",NA,NA
172,53,"COL","Colombia",5,"Bolívar",172,"El Carmen de Bolívar","Municipio","Municipality",NA,"El Carmen De Bol|El Carmen"
173,53,"COL","Colombia",5,"Bolívar",173,"El Guamo","Municipio","Municipality",NA,NA
174,53,"COL","Colombia",5,"Bolívar",174,"Hatillo de Loba","Municipio","Municipality",NA,NA
175,53,"COL","Colombia",5,"Bolívar",175,"Mahates","Municipio","Municipality",NA,NA
176,53,"COL","Colombia",5,"Bolívar",176,"María la Baja","Municipio","Municipality",NA,NA
177,53,"COL","Colombia",5,"Bolívar",177,"Margarita","Municipio","Municipality",NA,NA
178,53,"COL","Colombia",5,"Bolívar",178,"Mompós","Municipio","Municipality",NA,NA
179,53,"COL","Colombia",5,"Bolívar",179,"Montecristo","Municipio","Municipality",NA,NA
180,53,"COL","Colombia",5,"Bolívar",180,"Morales","Municipio","Municipality",NA,NA
181,53,"COL","Colombia",5,"Bolívar",181,"Pinillos","Municipio","Municipality",NA,NA
182,53,"COL","Colombia",5,"Bolívar",182,"Río Viejo","Municipio","Municipality",NA,NA
183,53,"COL","Colombia",5,"Bolívar",183,"San Estanislao de Kostka","Municipio","Municipality",NA,"San Estanislao"
184,53,"COL","Colombia",5,"Bolívar",184,"San Fernando","Municipio","Municipality",NA,NA
185,53,"COL","Colombia",5,"Bolívar",185,"San Jacinto","Municipio","Municipality",NA,NA
186,53,"COL","Colombia",5,"Bolívar",186,"San Juan Nepomuceno","Municipio","Municipality",NA,"San Juan Nepomuc"
187,53,"COL","Colombia",5,"Bolívar",187,"San Martín de Loba","Municipio","Municipality",NA,NA
188,53,"COL","Colombia",5,"Bolívar",188,"San Pablo","Municipio","Municipality",NA,NA
189,53,"COL","Colombia",5,"Bolívar",189,"Santa Catalina","Municipio","Municipality",NA,NA
190,53,"COL","Colombia",5,"Bolívar",190,"Santa Rosa del Sur","Municipio","Municipality",NA,NA
191,53,"COL","Colombia",5,"Bolívar",191,"Santa Rosa","Municipio","Municipality",NA,NA
192,53,"COL","Colombia",5,"Bolívar",192,"Simití","Municipio","Municipality",NA,NA
193,53,"COL","Colombia",5,"Bolívar",193,"Soplaviento","Municipio","Municipality",NA,NA
194,53,"COL","Colombia",5,"Bolívar",194,"Talaigua Nuevo","Municipio","Municipality",NA,NA
195,53,"COL","Colombia",5,"Bolívar",195,"Turbaco","Municipio","Municipality",NA,NA
196,53,"COL","Colombia",5,"Bolívar",196,"Turbaná","Municipio","Municipality",NA,NA
197,53,"COL","Colombia",5,"Bolívar",197,"Villanueva","Municipio","Municipality",NA,NA
198,53,"COL","Colombia",5,"Bolívar",198,"Zambrano","Municipio","Municipality",NA,NA
199,53,"COL","Colombia",6,"Boyacá",199,"Almeida","Municipio","Municipality",NA,NA
200,53,"COL","Colombia",6,"Boyacá",200,"Aquitania","Municipio","Municipality",NA,NA
201,53,"COL","Colombia",6,"Boyacá",201,"Arcabuco","Municipio","Municipality",NA,NA
202,53,"COL","Colombia",6,"Boyacá",202,"Belén",NA,NA,NA,NA
203,53,"COL","Colombia",6,"Boyacá",203,"Berbeo","Municipio","Municipality",NA,NA
204,53,"COL","Colombia",6,"Boyacá",204,"Beteitiva","Municipio","Municipality",NA,NA
205,53,"COL","Colombia",6,"Boyacá",205,"Boavita","Municipio","Municipality",NA,NA
206,53,"COL","Colombia",6,"Boyacá",206,"Boyacá","Municipio","Municipality",NA,NA
207,53,"COL","Colombia",6,"Boyacá",207,"Briceño","Municipio","Municipality",NA,NA
208,53,"COL","Colombia",6,"Boyacá",208,"Buenavista","Municipio","Municipality",NA,NA
209,53,"COL","Colombia",6,"Boyacá",209,"Busbanza","Municipio","Municipality",NA,NA
210,53,"COL","Colombia",6,"Boyacá",210,"Cómbita","Municipio","Municipality",NA,NA
211,53,"COL","Colombia",6,"Boyacá",211,"Caldas","Municipio","Municipality",NA,NA
212,53,"COL","Colombia",6,"Boyacá",212,"Campohermoso","Municipio","Municipality",NA,NA
213,53,"COL","Colombia",6,"Boyacá",213,"Cerinza","Municipio","Municipality",NA,NA
214,53,"COL","Colombia",6,"Boyacá",214,"Chíquiza","Municipio","Municipality",NA,NA
215,53,"COL","Colombia",6,"Boyacá",215,"Chinavita","Municipio","Municipality",NA,NA
216,53,"COL","Colombia",6,"Boyacá",216,"Chiquinquirá","Municipio","Municipality",NA,NA
217,53,"COL","Colombia",6,"Boyacá",217,"Chiscas","Municipio","Municipality",NA,NA
218,53,"COL","Colombia",6,"Boyacá",218,"Chita","Municipio","Municipality",NA,NA
219,53,"COL","Colombia",6,"Boyacá",219,"Chitaraque","Municipio","Municipality",NA,NA
220,53,"COL","Colombia",6,"Boyacá",220,"Chivatá","Municipio","Municipality",NA,NA
221,53,"COL","Colombia",6,"Boyacá",221,"Chivor","Municipio","Municipality",NA,NA
222,53,"COL","Colombia",6,"Boyacá",222,"Ciénaga","Municipio","Municipality",NA,NA
223,53,"COL","Colombia",6,"Boyacá",223,"Coper","Municipio","Municipality",NA,NA
224,53,"COL","Colombia",6,"Boyacá",224,"Corrales","Municipio","Municipality",NA,NA
225,53,"COL","Colombia",6,"Boyacá",225,"Covarachía","Municipio","Municipality",NA,NA
226,53,"COL","Colombia",6,"Boyacá",226,"Cuítiva","Municipio","Municipality",NA,NA
227,53,"COL","Colombia",6,"Boyacá",227,"Cubará","Municipio","Municipality",NA,NA
228,53,"COL","Colombia",6,"Boyacá",228,"Cucaita","Municipio","Municipality",NA,NA
229,53,"COL","Colombia",6,"Boyacá",229,"Duitama","Municipio","Municipality",NA,NA
230,53,"COL","Colombia",6,"Boyacá",230,"El Cocuy","Municipio","Municipality",NA,NA
231,53,"COL","Colombia",6,"Boyacá",231,"El Espino","Municipio","Municipality",NA,NA
232,53,"COL","Colombia",6,"Boyacá",232,"Firavitoba","Municipio","Municipality",NA,NA
233,53,"COL","Colombia",6,"Boyacá",233,"Floresta","Municipio","Municipality",NA,NA
234,53,"COL","Colombia",6,"Boyacá",234,"Gámeza","Municipio","Municipality",NA,NA
235,53,"COL","Colombia",6,"Boyacá",235,"Gachantivá","Municipio","Municipality",NA,NA
236,53,"COL","Colombia",6,"Boyacá",236,"Garagoa","Municipio","Municipality",NA,NA
237,53,"COL","Colombia",6,"Boyacá",237,"Guacamayas","Municipio","Municipality",NA,NA
238,53,"COL","Colombia",6,"Boyacá",238,"Guateque","Municipio","Municipality",NA,NA
239,53,"COL","Colombia",6,"Boyacá",239,"Guayatá","Municipio","Municipality",NA,NA
240,53,"COL","Colombia",6,"Boyacá",240,"Guicán","Municipio","Municipality",NA,NA
241,53,"COL","Colombia",6,"Boyacá",241,"Izá","Municipio","Municipality",NA,NA
242,53,"COL","Colombia",6,"Boyacá",242,"Jenesano","Municipio","Municipality",NA,NA
243,53,"COL","Colombia",6,"Boyacá",243,"Jericó","Municipio","Municipality",NA,NA
244,53,"COL","Colombia",6,"Boyacá",244,"La Capilla","Municipio","Municipality",NA,NA
245,53,"COL","Colombia",6,"Boyacá",245,"La Uvita","Municipio","Municipality",NA,NA
246,53,"COL","Colombia",6,"Boyacá",246,"La Victoria","Corregimiento Departamento","Corregimiento Departamento",NA,NA
247,53,"COL","Colombia",6,"Boyacá",247,"Labranzagrande","Municipio","Municipality",NA,NA
248,53,"COL","Colombia",6,"Boyacá",248,"Macanal","Municipio","Municipality",NA,NA
249,53,"COL","Colombia",6,"Boyacá",249,"Maripí","Municipio","Municipality",NA,NA
250,53,"COL","Colombia",6,"Boyacá",250,"Miraflores","Municipio","Municipality",NA,NA
251,53,"COL","Colombia",6,"Boyacá",251,"Mongua","Municipio","Municipality",NA,NA
252,53,"COL","Colombia",6,"Boyacá",252,"Monguí","Municipio","Municipality",NA,NA
253,53,"COL","Colombia",6,"Boyacá",253,"Moniquirá","Municipio","Municipality",NA,NA
254,53,"COL","Colombia",6,"Boyacá",254,"Motavita","Municipio","Municipality",NA,NA
255,53,"COL","Colombia",6,"Boyacá",255,"Muzo","Municipio","Municipality",NA,NA
256,53,"COL","Colombia",6,"Boyacá",256,"Nobsa","Municipio","Municipality",NA,NA
257,53,"COL","Colombia",6,"Boyacá",257,"Nuevo Colón","Municipio","Municipality",NA,NA
258,53,"COL","Colombia",6,"Boyacá",258,"Oicatá","Municipio","Municipality",NA,NA
259,53,"COL","Colombia",6,"Boyacá",259,"Otanche","Municipio","Municipality",NA,NA
260,53,"COL","Colombia",6,"Boyacá",260,"Páez","Municipio","Municipality",NA,NA
261,53,"COL","Colombia",6,"Boyacá",261,"Pachavita","Municipio","Municipality",NA,NA
262,53,"COL","Colombia",6,"Boyacá",262,"Paipa","Municipio","Municipality",NA,NA
263,53,"COL","Colombia",6,"Boyacá",263,"Pajarito","Municipio","Municipality",NA,NA
264,53,"COL","Colombia",6,"Boyacá",264,"Panqueba","Municipio","Municipality",NA,NA
265,53,"COL","Colombia",6,"Boyacá",265,"Pauna","Municipio","Municipality",NA,NA
266,53,"COL","Colombia",6,"Boyacá",266,"Paya","Municipio","Municipality",NA,NA
267,53,"COL","Colombia",6,"Boyacá",267,"Paz de Río","Municipio","Municipality",NA,NA
268,53,"COL","Colombia",6,"Boyacá",268,"Pesca","Municipio","Municipality",NA,NA
269,53,"COL","Colombia",6,"Boyacá",269,"Pisba","Municipio","Municipality",NA,"Pisva"
270,53,"COL","Colombia",6,"Boyacá",270,"Puerto Boyacá","Municipio","Municipality",NA,"Puerto Boyacáa"
271,53,"COL","Colombia",6,"Boyacá",271,"Quípama","Municipio","Municipality",NA,NA
272,53,"COL","Colombia",6,"Boyacá",272,"Ráquira","Municipio","Municipality",NA,NA
273,53,"COL","Colombia",6,"Boyacá",273,"Ramiriquí","Municipio","Municipality",NA,NA
274,53,"COL","Colombia",6,"Boyacá",274,"Rondón","Municipio","Municipality",NA,NA
275,53,"COL","Colombia",6,"Boyacá",275,"Sáchica","Municipio","Municipality",NA,NA
276,53,"COL","Colombia",6,"Boyacá",276,"Saboyá","Municipio","Municipality",NA,NA
277,53,"COL","Colombia",6,"Boyacá",277,"Samacá","Municipio","Municipality",NA,NA
278,53,"COL","Colombia",6,"Boyacá",278,"San Eduardo","Municipio","Municipality",NA,NA
279,53,"COL","Colombia",6,"Boyacá",279,"San José de Pare","Municipio","Municipality",NA,NA
280,53,"COL","Colombia",6,"Boyacá",280,"San Luis de Gaceno","Municipio","Municipality",NA,"San Luis De Gace"
281,53,"COL","Colombia",6,"Boyacá",281,"San Mateo","Municipio","Municipality",NA,NA
282,53,"COL","Colombia",6,"Boyacá",282,"San Miguel de Sema","Municipio","Municipality",NA,NA
283,53,"COL","Colombia",6,"Boyacá",283,"San Pablo de Borbur","Municipio","Municipality",NA,NA
284,53,"COL","Colombia",6,"Boyacá",284,"Santa María","Municipio","Municipality",NA,"Santamaria"
285,53,"COL","Colombia",6,"Boyacá",285,"Santa Rosa de Viterbo","Municipio","Municipality",NA,NA
286,53,"COL","Colombia",6,"Boyacá",286,"Santa Sofía","Municipio","Municipality",NA,NA
287,53,"COL","Colombia",6,"Boyacá",287,"Santana","Municipio","Municipality",NA,NA
